id;title;author;genre;editorial;bookshop;bookshop_url;start_date;deadline;jhi_check
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;Principal Baht radical;Configuration mobile intuitive;Center;2020-05-30T04:56:13;2020-05-30T02:25:01;18077
2;Borders Designer calculating;Overpass toolset;architectures synthesizing Industrial;Cotton Representative software;Bedfordshire calculating Toys;connecting;2020-05-30T15:31:29;2020-05-30T15:41:37;14003
3;Personal Loan Account bleeding-edge payment;markets;ivory Mouse;programming Licensed Plastic Bacon Consultant;Berkshire Developer orchestrate;online withdrawal payment;2020-05-30T15:16:45;2020-05-30T14:58:25;73783
4;Buckinghamshire;grow Ergonomic relationships;Coordinator backing up Ports;syndicate;Computer navigate Chicken;back-end;2020-05-30T01:37:33;2020-05-29T16:55:14;72788
5;Sweden mobile Product;Web Checking Account Industrial;back-end Future-proofed compressing;Table green Dominica;Shoes parse world-class;Cocos (Keeling) Islands South Carolina;2020-05-30T15:01:02;2020-05-29T23:08:01;40972
6;Som;silver Clothing alarm;Books Oklahoma;Antigua and Barbuda Station;interface calculate Zloty;backing up;2020-05-29T22:14:35;2020-05-30T01:57:26;86720
7;Andorra Bedfordshire Cambridgeshire;circuit Planner optical;HDD Arkansas;payment Consultant SQL;olive Intelligent;Surinam Dollar interfaces bus;2020-05-30T01:53:55;2020-05-29T16:56:17;80857
8;Netherlands networks engineer;Rand Namibia Dollar;methodical Concrete Saint Helena Pound;Car SMS Optimization;hack migration District;Djibouti Franc;2020-05-30T10:30:10;2020-05-29T19:22:45;74410
9;Western Sahara program Technician;digital vortals initiatives;composite;Iceland Avon;azure Intelligent Fresh Chicken wireless;hybrid;2020-05-30T15:49:12;2020-05-30T09:45:38;64613
10;Coordinator Tasty;orchestrate;adapter Intuitive Sausages;invoice;online;Morocco salmon;2020-05-30T14:08:36;2020-05-30T13:59:42;31048
