id;title;genre;platform;platform_url;start_date;deadline;jhi_check;user_id
1;Breaking Bad;Drama;Netflix;https://www.netflix.com/es/;2020-05-10;2020-05-09;1;4
2;Man In High Castle;Drama;Amazon Prime Video;https://www.primevideo.com/;2020-05-10;2020-05-10;0;4
3;Game of Thrones;Drama;HBO;https://es.hboespana.com/;2020-05-10;2020-05-10;1;4
4;The Soprano;Comedy;Disney+;https://disney.es/;2020-05-09;2020-05-10;1;4
5;True Detective;Thriller;Movistar+;http://ver.movistarplus.es/?nv=2;2020-05-10;2020-05-10;0;4
6;Fargo;Drama;Apple TV+;https://www.apple.com/es/apple-tv-plus/;2020-05-10;2020-05-10;0;4
7;Roma Criminal;Thriller;Sky TV;https://www.sky.es/;2020-05-10;2020-05-10;0;4
8;Black Mirror;Drama;Filmin;https://www.filmin.es/;2020-05-10;2020-05-10;1;4
9;Friends;Comedy;Rakuten TV;https://rakuten.tv/es/;2020-05-09;2020-05-10;1;4
10;Mr Robot;Drama;FlixOlé;https://flixole.com/;2020-05-10;2020-05-10;0;4
